,batch,gender,music_streaming_platform,language_music_primary,music_language_secondary,fav_music_genre,fav_music_genre_2,num_concerts,num_songs_playlist,fav_musical_ins,play_instrument,fav_music_artist,fav_music_band,movie_streaming_platform,fav_movie_genre,fav_tvseries_genre,movie_watching_mode,movie_preference,fav_movie_actor,fav_series_actor,fav_movie,fav_series,time_movie_week,highest_binge_hr,opp_barb
30,CSIT 2024,Male,Spotify,English,Nepali,Pop,Rock / Metal / Grunge,2,96,Piano / Keyboard,Guitar,Bruno Mars,Coldplay,Unofficial Streaming Sites (FMovies) etc.,Thriller,Thriller,Cinema,Hollywood,Johnny Depp,Cilian Murphy,Inception,Breaking Bad,3,8,Oppenheimer
31,CSIT 2024,Female,YouTube,Hindi,Nepali,Indie,Classical / Traditional,1,38,Flute,,Lana Del Rey,Phosphenes,Unofficial Streaming Sites (FMovies) etc.,Thriller,Thriller,Laptop / PC,Bollywood,Ranbir Kapoor,Victoria Pedretti,Rockstar,Haunting of Hill house,4,9,Oppenheimer
32,CSIT 2024,Male,YouTube,Nepali,English,Others,Rock / Metal / Grunge,2,112,Melodica,Guitar,Brandon Flowers,The Killers,Torrent / Download,Romance / Love Story,Others,Laptop / PC,Hollywood,Brad Pitt,Adam Brody,The Lord of the Rings,Heart of Dixie,10,16,Barbie
33,CSIT 2024,Male,YouTube,English,Nepali,Rock / Metal / Grunge,Rap / HipHop,0,350,Drums,,Kendrick Lamar,Metallica,Unofficial Streaming Sites (FMovies) etc.,Thriller,Thriller,Laptop / PC,Hollywood,Matthew McConaughey,Kaley Cuoco,Fight Club,Suits,10,19,Oppenheimer
34,CSIT 2025,Male,YouTube,English,Nepali,Classical / Traditional,Indie,0,0,Guitar,,(empty),The Strokes,Unofficial Streaming Sites (FMovies) etc.,Sci-Fi,Comedy,Laptop / PC,Hollywood,(empty),Steve Carrell,Grand Budapest Hotel,Malcolm In The Middle,1,12,Oppenheimer
35,CSIT 2025,Male,YouTube,English,Hindi,Rap / HipHop,Bollywood,0,160,Guitar,Guitar,(empty),Tame Impala,Unofficial Streaming Sites (FMovies) etc.,Thriller,Thriller,Cinema,Hollywood,Leonardo Dicaprio,Bryan Cranston,Interstellar,Dark,1,8,Oppenheimer
36,CSIT 2025,Male,Spotify,English,Hindi,Pop,Indie,2,0,Guitar,Guitar,Ed Sheeran,Daft Punk,Unofficial Streaming Sites (FMovies) etc.,Anime,Anime,Cinema,Japanese,Keanu Reeves,Idris Alba,John Wick,One Piece,10,6,Oppenheimer
37,CSIT 2025,Male,YouTube,English,Nepali,Others,Others,2,320,Guitar,,(empty),(empty),Unofficial Streaming Sites (FMovies) etc.,Sci-Fi,Others,TV,Hollywood,Akshay Kumar,Cilian Murphy,The Batman,Game Of Thrones,5,10,Oppenheimer
38,CSIT 2025,Female,Spotify,Others,English,Others,Pop,3,52,Guitar,,DPR,Tomorrow by Together ,Unofficial Streaming Sites (FMovies) etc.,Romance / Love Story,Romance / Love Story,Laptop / PC,Korean,Fahran Aktar,Park Hyun Sik,Taare Jameen Par,Alchemy of souls,10,0,Barbie
39,CSIT 2025,Male,Others,Nepali,Hindi,Indie,Classical / Traditional,0,20,Ukulele,Ukulele,Nabin K Bhattarai,TOOL,"Streaming Sites (Netflix, Disney+, Hulu, etc.)",Horror,Thriller,TV,Hollywood,Christian Bale,Bryan Cranston,Taxi Driver,Breaking Bad,3,22,Oppenheimer
